Naam;Aanbod;Keuken;Dieet;Take-away opties;Tekstveld;Adres;Postcode;Gemeente;Telefoonnummer;Link;Image name;Image URL;E-mail;Column 15;Column 16;Column 17;Omschrijving voor paasactie;Link;image_path
Plus+;"Gezond;Lunch";Belgisch;Vegetarisch;;Veggies for take out;Ajuinlei 14;9000;Gent;0032486367393;https://plus.gent/collections/take-it-away;PLus+.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e984ba6df2626041870685ade35c3166;;;;;;https://plus.gent/collections/take-it-away;https://stad.gent/sites/default/files/koop_lokaal/PLus+.jpg
Pycke Zot;"Dranken;Brasserie keuken";Belgisch;;;Hoofdgerechten met o.a. vol-au-vent specialiteit met huisgemaakte kroketjes. Ook lekkere biertjes & wijnen.;Sint salvatorstraat 129;9000;Gent;0495365361;https://www.pyckezot.be/;PyckeZot.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1f7b5ebcd24daf31d6c0babd1d62866f;;;;;;https://www.pyckezot.be/;https://stad.gent/sites/default/files/koop_lokaal/PyckeZot.jpg
Restaurant Poco Loco;"Tapas;Wereldkeuken;Zomerwedstrijd";"Mediterraans;Spaans";"Glutenvrij;Vegetarisch";;Wij zijn een Peruaans restaurant en trachten u op een familiale manier kennis te laten maken met authentieke gerechten uit het mythische Peru;Morekstraat 457;9032;Wondelgem;0476/970527;https://www.restaurantpocoloco.com;PocoLoco.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/ed8dacd5d65b61349d81b3c1dea21700;ginodevilder@telenet.be;0476 970 527;;;;https://www.restaurantpocoloco.com;https://stad.gent/sites/default/files/webform/horeca/10957/DSCN6398.JPG
Restaurant Valentijn;Brasserie keuken;Belgisch;;;"Dagverse wisselende suggesties; Waterzooi van kip/Echte ballekes in tomatensaus/Scampis met kerrie en fijne groentjes/Fazant met witloof/Zalmfilet met crabsaus/Veggie ravioli met tomaat/Pompoensoep....";Rode koningstraat 1 Patershol;9000;Gent;092250429;https://www.facebook.com/Restaurant-Valentijn-106120841278454/;Valentijn.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e18451801a753e13d1ccf79990723026;;;;;;https://www.facebook.com/Restaurant-Valentijn-106120841278454/;https://stad.gent/sites/default/files/koop_lokaal/Valentijn.jpg
Rooftop Gaston;"Dranken;Brasserie keuken;Pasta;Zoet";Belgisch;"Veganistisch;Vegetarisch";;Gaston gaat even in een winterslaap maar zijn grootmoeder heeft de keuken overgenomen en haar Belgische klassiekers kunnen elke DO & VRIJ worden afgehaald of geleverd aan huis in groot Gent.;Molenwalstraat 25A;9030;Mariakerke;0491070144;www.gaston-gent.be;RooftopGaston.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1cd9ac3f6baf859843039c78ca26d9e0;;;;;;www.gaston-gent.be;https://stad.gent/sites/default/files/webform/horeca/8710/IMG_1706D.jpg
Roots;Brasserie keuken;"Belgisch;Frans";;;A la carte gerechten waardoor je jouw eigen menu kan samenstellen of gewoon één gerecht kan kiezen;Vrouwebroersstraat 5;9000;Gent;093106773;https://www.rootsgent.be/nieuws;Roots.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/a110ca491f749fc902656841dc338956;;;;;;https://www.rootsgent.be/nieuws;https://stad.gent/sites/default/files/koop_lokaal/Roots.jpg
SOHO Summerbar;"Dranken;Tapas";Belgisch;Glutenvrij;;"Midden in het hartje van Gent, SOHO Zomerbar.
Gelegen aan een zijstraat van de Veldstraat, kan je hier in alle rust genieten van lekkere cocktails, biertjes en andere drankjes. Ook finger food en gezellige sfeermuziek ontbreken niet.";Predikherenlei 2;9000;Gent;0479858970;niels.de.puydt@hotmail.com;SOHOSummerbar.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/eb3577d6933c7d79e47e108bba5c9f7a;niels.de.puydt@hotmail.com;0479858970;;;;niels.de.puydt@hotmail.com;https://stad.gent/sites/default/files/webform/horeca/12058/Screenshot_20210715_165517.jpg
SOMM;"Gastronomisch;Wereldkeuken";"Aziatisch;Belgisch;Frans";Vegetarisch;;SOMM is een gezellig, klein wijnrestaurant waar we een heerlijke keuken combineren met al even heerlijke wijnen. Voor het Valentijnsweekend creëerden we een gastronomisch driegangen keuzemenu aan 45 euro pp. Smakelijk!;Steendam 39;9000;Gent;0473882518;https://www.somm.gent/valentijn;Somm.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d5774bcc4f96c85519afcf1a9f896715;;;;;;https://www.somm.gent/valentijn;https://stad.gent/sites/default/files/koop_lokaal/Somm.jpg
Spoorloos Perron;"BBQ en grill;Dranken;Brasserie keuken;Frietjes;Gezond;Lunch;Pasta;Wok;Wereldkeuken;Zoet;Kindvriendelijk";"Belgisch;Frans;Mediterraans";"Glutenvrij;Veganistisch;Vegetarisch";;Gezonde en (h)eerlijke keuken , dagsuggesties ,ook per kg, Vlaamse Klassiekers, wereldkeuken , kortom lekker eten voor ieders budget...;Koningin Fabiolalaan 9;9000;Gent;0491 25 79 20;https://www.spoorloosperron.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/21dfa14e8a477dea631341cb0897a79b;info@spoorloosperron.be;491257920;;;;https://www.spoorloosperron.be/;https://stad.gent/sites/default/files/webform/horeca/7167/2020traiteur%20kopie.jpg
Sportcentrum Bateas;"Dranken;Kindvriendelijk";Belgisch;;;Bateas is ondertussen al 60 jaar een vaste waarde in de Gentse als het op sporten aankomt. U kan hier ook gezellig iets drinken.;Dendermondsesteenweg 397;9040;Sint-Amandsberg;09 228 31 95;https://www.bateas.be/;bateas.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/00b4af3084dbf4b639b0d1644ca19224;info@bateas.be;;;;;https://www.bateas.be/;https://stad.gent/sites/default/files/webform/horeca/12556/13_Sportcentrum%20Bateas_overzicht.JPG
STAMcafé;"Dranken;Brasserie keuken;Pasta;Zoet";Belgisch;Vegetarisch;;STAMcafé wordt tijdelijk STAMcafay en is DO & VRIJ open voor take away en Delivroo van 17u30 tot 21u en zaterdag en zondag van 12u tot 21u. Warme draken, huisbereide cake en Belgische klassiekers. Ideaal in combinatie met een bezoek aan STAM museum!;Godshuizenlaan 2;9000;Gent;0032491070144;www.stamcafe.gent;STAMcafé.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/0ad7485055caae1cca47714d92d92bce;;;;;;www.stamcafe.gent;https://stad.gent/sites/default/files/webform/horeca/8709/IMG_1956D.jpg
T Spoorke;Brasserie keuken;"Belgisch;Frans";;;Familiezaak sinds 2016. Typische brasserie keuken met liefde bereidt door de mama. Vaste take away menu als dagschotels. In het weekend ook een wisselend menu.;Leo Tertzweillaan 12;9050;Gentbrugge;0498827940;http://www.t-spoorke.be;T-Spoorke.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/cd8838261d101bc16be425a879ea07cc;;;;;;http://www.t-spoorke.be;https://stad.gent/sites/default/files/koop_lokaal/T'Spoorke.jpg
Tampopo;"Sushi;Wereldkeuken;Zomerwedstrijd";Japans;;;Japans restaurant voor sushi, sashimi en andere warme gerechten zoals dim sum, enz.;Steenaardsestraat 40;9051;Sint-Denijs-Westrem;092828285;http://www.tampopo.be;Tampopo.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e562c05f7919bcc0ebb05a97a764b543;;;;;;http://www.tampopo.be;https://stad.gent/sites/default/files/koop_lokaal/Tampopo.jpg
Teskaffee;"Ontbijt;Brunch;Zoet";Belgisch;;;Take away koffie, gebak, ontbijt, lunch en brunch. Gericht op wereldse smaken.;Steendam 76;9000;Gent;0493390151;www.teskaffee.be;Teskaffee.jpeg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/c1264860566c0f350e561863638e6a41;;;;;;www.teskaffee.be;https://stad.gent/sites/default/files/koop_lokaal/Teskaffee.jpeg
Trattoria Della Mamma;Pasta;Italiaans;;;Traiteurgerechten: pasta's, salades, charcuterie, kazen, wijnen,... Alles in huis van aperitief tot en met dessert.;Sint Pietersnieuwstraat 36;9000;Gent;092341701;http://www.trattoriadellamamma.be;TrattoriaDellaMamma.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/6982019d50ff3063741a0fe2fef88c6f;;;;;;http://www.trattoriadellamamma.be;https://stad.gent/sites/default/files/koop_lokaal/TrattoriaDellaMamma.jpg
Woest;"Gastronomisch;Kindvriendelijk";;;;;Drongensesteenweg 41;9000;Gent;0486217566;http://woestgent.be/take-away/menu/;Woest.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/ca503e4d1f24cceab37f0d34b638026a;;;;;;http://woestgent.be/take-away/menu/;http://woestgent.be/wp-content/uploads/2019/07/51362438_103995133978442_5821969049617211400_n.jpg
Wraps&Soups;"Gezond;Lunch";Belgisch;;;Luxe wraps, pasta's, salades, halve stokbroden en gegrilde ciabatta.;Lange violettestraat 64;9000;Gent;0470348522;Http://www.wraps-soups.com/?lang=nl;Wraps&Soups.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/dde984582b1d72df4f35eb5dd47977c0;;;;;;Http://www.wraps-soups.com/?lang=nl;https://stad.gent/sites/default/files/koop_lokaal/Wraps&Soups.jpg
Ya baba gent;"BBQ en grill;Wereldkeuken";Syrisch;;;Syrische eethuis met veel bbq, shawrma en vegetarisch eten op zijn Syrisch;Bevrijdingslaan 274;9000;Gent;0468147251;https://www.takeaway.com/be-en/ya-baba;YaBaba.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/fc58a67d6fd2e0b944b6ca1e2a4e4696;;;;;;https://www.takeaway.com/be-en/ya-baba;https://stad.gent/sites/default/files/koop_lokaal/YaBaba.jpg
Yasai;"Gezond;Lunch;Ontbijt en brunch;Zoet";"Aziatisch;Belgisch;Midden-Oosters";"Glutenvrij;Halal;Veganistisch;Vegetarisch";;"Yasai staat voor heerlijk, plantaardig en puur & biedt iedere dinsdag 2 verschillende dagschotels aan (warm &/of koud) plus enkele gezonde snacks.
 
 Op geregelde tijdstippen is er ook een brunch voorzien.
 
 Zie onze fb-pagina voor info & menu.";Rabostraat 25;9000;Gent;;https://www.facebook.com/yasaiplantbased;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2ad18d005d3275f0dc1bed53997302e7;info@yasai.be;494742033;;;;https://www.facebook.com/yasaiplantbased;https://stad.gent/sites/default/files/webform/horeca/6863/123442955_353830295711975_4890833901377374100_n.jpg
Adanaci;"BBQ en grill;Gezond;Kindvriendelijk";Turks;Halal;;"Wij zijn een authentieke grill-barbequezaak. Onze specialiteit is ""Adana kebab"", een Turks gerecht bestaande uit gekruid lamsgehakt, dat aan een spies boven houtskoolvuur wordt gegrild. Elke dag ook verse andere gegrilde vleessoorten.";Muidepoort 41;9000;Gent;0488 88 52 11;https://www.facebook.com/Adanaci-MUIDE-181935789069543;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/17dc3dea7d4379404f87279858de8d9b;altintas.ulku1@gmail.com;477294250;;;;https://www.facebook.com/Adanaci-MUIDE-181935789069543;https://stad.gent/sites/default/files/webform/horeca/7776/IMG_20201021_212444.jpg
Amigo;"Dranken;Brasserie keuken;Lunch;Zoet";Mexicaans;;;Mexicaans en Midden Oosterse gerechten, vol kleur en pit.;Stapelplein, 31;9000;Gent;0496941599;http://www.amigosareforever.com/take-away;Amigo.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/9f7ebfb7b3cfcf7e671ffad54fd2127d;;;;;;http://www.amigosareforever.com/take-away;https://stad.gent/sites/default/files/koop_lokaal/Amigo.jpg
Ascona;Ontbijt en brunch;Belgisch;;;Ontbijt, belegde broodjes, soep, pasta’s & salades;Voskenslaan 103;9000;Gent;0497 72 26 00;http://www.ascona-gent.be;Ascona.jpeg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/ba6cc672d268875ee9397e5e6ecf8972;;;;;;http://www.ascona-gent.be;https://stad.gent/sites/default/files/koop_lokaal/Ascona.jpeg
Bar Jan Cremer;"Gezond;Ontbijt en brunch;";Belgisch;"Veganistisch;Vegetarisch";;Bar Jan Cremer is een koffie- en apérobar met een zonnig terras middenin de studentenbuurt. Er is een selectie van vegan desserts en seasonal slaatjes. Check ons brunch aanbod!;Kramersplein 5;9000;Gent;0474 24 85 93;https://www.barjancremer.be;Barjancremer.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/dff3756b667a0516826c53095615a036;;;;;;https://www.barjancremer.be;https://communicatie-digitaal.gent.be/kooplokaal/BarJanCremer.jpg
Barouche;Wereldkeuken;Midden-Oosters;"Veganistisch;Vegetarisch";;Barouche is een nieuwe zaak op de Korenmarkt die u huisgemaakte pita's serveert. Deze worden ter plaatse gebakken in hun authentieke oven en worden gevuld met heerlijke ingrediënten. Barouche heeft ook vegetarische opties!;Kortemunt 8;9000;Gent;;www.barouche.eu;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2d97fd08743dc773984095502791c1fb;;;;;;www.barouche.eu;https://stad.gent/sites/default/files/webform/horeca/6776/IMG_9601.jpg.png
Bavet - Muinkkaai;Pasta;"Belgisch;Italiaans";"Glutenvrij;Veganistisch;Vegetarisch";;Fast casual spaghetti Made for Friends. 2nd best spaghetti after your (grand)mom’s. - Enjoying spaghetti with your friends without making stains on your shirt.;Muinkkaai 120;9000;Gent;;https://www.bavet.eu/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/18ff630e0b86da9a1258db801a8c4475;;;;;;https://www.bavet.eu/;https://stad.gent/sites/default/files/webform/horeca/6816/GMmuze_c6333d3d3a9e8854c142c893fcac1264.jpg
Beiruti;"Wereldkeuken;Gezond;Lunch";Libanees;;;We leveren van maandag tot donderdag tot 40 kilometer rond Gent;Voldersstraat 13;9000;Gent;094306585;https://beiruti.eu/;Beiruti.jpeg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/7adcfe74db803d983472922be86a191f;;;;;;https://beiruti.eu/;https://stad.gent/sites/default/files/koop_lokaal/Beiruti.jpeg
Bicho Malo;"Taco's;Wereldkeuken";Mexicaans;Vegetarisch;;"Mexicaans van een andere planeet!
 Dit is de MUST EAT der Must eaters. Food en cocktails van een andere planeet! 
 Een smaaksensatie in een fantastische sfeer met perfect afgestemde muziek. 
 Fancy interieur en hippe sfeer!";Serpentstraat 11;9000;Gent;0478346755;http://bichomalo.be;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8c16220e464ea192c756c8fe8efcfb53;office@bichomalo.be;479691133;;;;http://bichomalo.be;https://stad.gent/sites/default/files/webform/horeca/7186/bicho-malo%20foto.jpg
Billie Rose;"Dranken;Zoet";Belgisch;;;Koffie, taart en homemade limonade;Brabantdam 135;9000;Gent;092226339;http://www.billierose.be;BillieRose.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/4fd334f67ed1dc3a8303ca7e6778e449;;;;;;http://www.billierose.be;https://stad.gent/sites/default/files/koop_lokaal/BillieRose.jpg
Bistro Illyrian;"BBQ en grill;Wereldkeuken";Mediterraans;;;Geïnspireerd door de Albanese keuken serveert Bistro Illyrian u verfijnde en robuuste gerechten met een modern toets;Francois Laurentplein 8;9000;Gent;0486552491;http://www.illyrian.be;BistroIllyrian.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e3a931cb4453e984b88703abce110e02;;;;;;http://www.illyrian.be;https://stad.gent/sites/default/files/koop_lokaal/BistroIllyrian.jpg
Bocca;"Dranken;Gezond;Pasta";"Belgisch;Italiaans";"Glutenvrij;Veganistisch;Vegetarisch";;Warme pasta gerechten, koude sauzen, desserts, dranken. Vegetarisch/Vegan/Glutenvrije gerechten beschikbaar.;Citadellaan 4;9000;Gent;09 245 37 99;http://www.bocca.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/baa257bfe098dde74c0f60ea5c6daadb;info@bocca.be;32475466262;;;;http://www.bocca.be/;https://stad.gent/sites/default/files/webform/horeca/7063/82788019_3421937117881426_7249968382638817280_o.jpg
BOON;"Gezond;Lunch;Zoet;Kindvriendelijk";"Belgisch; Frans;Grieks;Italiaans;Japans;Libanees;Mediterraans;Mexicaans;Thais";"Glutenvrij;Halal;Veganistisch;Vegetarisch";;BOON is een veggie lunchbar aan het Gravensteen met vegan opties. Naast onze gezonde, kleurrijke salades en vegan soep zijn ook alle desserten steeds huisgemaakt! Tijdens de lockdown organiseren we take out op vr en za (op bestelling) en warme wraps.;Geldmunt 6;9000;Gent;0477770181;http://www.boon.gent;BOON.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/fd992727de1d35382391cc9dd3d22926;;;;;;http://www.boon.gent;https://stad.gent/sites/default/files/webform/horeca/8545/IMG_5682.JPG
BP-Catering;"BBQ en grill;Dranken;Brasserie keuken;Lunch;Ontbijt en brunch;Tapas";"Belgisch;Frans";"Glutenvrij;Vegetarisch";;"ONTBIJT - BRUNCH - APEROBOX - BBQ - SUGGESTIEMENU - DEGUSTATIEMENU - KOUDE BUFFETTEN - PAELLA

U vindt bij ons voor elke gelegenheid de gepaste formule om uw gasten te verwennen.

De menu's worden kant en klaar geleverd in porselein incl afwas!";Vierhekkenstraat 11;9031;Drongen;092262235;https://bpcatering.kmoshops.be/;BPCatering.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/67b2a568b4a976b028a73288d6ea1d5b;info@bp-catering.be;;;;;https://bpcatering.kmoshops.be/;https://stad.gent/sites/default/files/webform/horeca/10858/Vitello%20tonato.jpg
Cafe Theatre;"Dranken;Brasserie keuken;Frietjes;Gastronomisch;Gezond;Lunch;Pasta;Kindvriendelijk";"Belgisch;Fans";;;Een gevestigde waarde in Gent sinds 1998.;Schouwburgstraat 7;9000;Gent;;www.cafetheatre.com;cafetheatre.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b1181c93326c64d83ad6074e44cedb54;info@cafetheatre.be;;;;;www.cafetheatre.com;https://stad.gent/sites/default/files/webform/horeca/12535/02_Caf%C3%A9%20Theatre_overzicht.JPG
Casa de Las Tapas;Wereldkeuken;Spaans;;;Verschillende soorten paella;Corduwaniersstraat 41;9000;Gent;092251889;https://www.casadelastapas.be/;Casadelastapas.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e55d3dd52cec60d985f58034c52ad785;;;;;;https://www.casadelastapas.be/;https://stad.gent/sites/default/files/koop_lokaal/Casadelastapas.jpg
Chambelland;"Dranken;Gezond;Ontbijt en brunch;Zoet";Frans;"Glutenvrij;Veganistisch";;Chambelland, alles bio en van nature glutenvrij. Een uniek concept uit Parijs, dagvers gluten- en lactosevrij, zelfs vegan brood, focaccia's en patisserie. Dit alles in een prachtig herenhuis met een majestueuze zaal waar het zalig vertoeven is.;François Laurentplein 4;9000;Gent;09220.99.22;www.chambelland.com;Chambelland.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/3b105e66925f5e477277a4a57203cdaa;contact@chambelland.com;09 220 99 22;;;;www.chambelland.com;https://stad.gent/sites/default/files/webform/horeca/13077/Fa%C3%A7ade%20gand%20Serge%20%281%29%20-%20copie%202%20%281%29.jpg
Charlotte Food Catering;"Gezond;Lunch";Belgisch;;;Foodbox met 5 sharing-gerechtjes voor een avondmaal voor 2 personen. Zowel met vlees/vis als veggie.;Sluizeken 12;9000;Gent;0472609181;http://www.charlottegent.be;CharlotteFoodCatering.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/240ef9fb0820c88f7838025d60d524ee;;;;;;http://www.charlottegent.be;https://stad.gent/sites/default/files/koop_lokaal/CharlotteFoodCatering.jpg
De Abt;"Brasserie keuken;Wok;Kindvriendelijk";"Belgisch;Aziatisch";;;Huispecialiteiten voor thuis: Stoverij Orval, Vol-au-vent, WOK kip & scampi, WOK veggie of onze mini-loempia's.;Lange Kruisstraat 4;9000;Gent;0477775294;https://www.deabt.gent/takeaway/;DeAbt.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/a71ffab7e873982b12d53ed05552084d;;;;;;https://www.deabt.gent/takeaway/;https://stad.gent/sites/default/files/koop_lokaal/DeAbt.jpg
De Bergen;"Dranken;Gezond;Lunch;Ontbijt en brunch;Kindvriendelijk";Belgisch;"Veganistisch;Vegetarisch";;In de Lousbergmarkt kan je bij ons terecht voor een klein of een groot ontbijt, een lekkere lunch of een drankje tijdens het winkelen bij onze vrienden van de markt.;Ferdinand Lousbergskaai 33;9000;Gent;0483/510.535;https://www.debergen.gent/;debergen.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/851b353ba2b3d34f5b3ded9f0915c22e;info@debergen.gent;;;;;https://www.debergen.gent/;https://stad.gent/sites/default/files/webform/horeca/12649/IMG_0007.jpg
De Koer;"Dranken;Kindvriendelijk";Belgisch;;;"De Koer is een plek in volle ontwikkeling te midden van de Brugse Poort te Gent; een concrete ruimte in de stad als beweeglijk speelveld voor vele projecten en initiatieven.";Meibloemstraat 86;9000;Gent;;http://www.dekoer.be/;dekoer.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/66911c73496293a3bc8173af4a8c2b24;info@dekoer.be;;;;;http://www.dekoer.be/;https://stad.gent/sites/default/files/webform/horeca/12706/Overzicht%20De%20Koer.jpg
De Lage Vuurse;"Gastronomisch;Zomerwedstrijd;Gezinsvriendelijk";Belgisch;;;Feestmenu's (wildfestival, kerstmenu, Oudejaar);Motorstraat 115;9000;Gent;0476449476;http://www.delagevuurse.be;DeLageVuurse.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d3a89d0b4c2e1ae4d436717977fad6fd;;;;;;http://www.delagevuurse.be;https://stad.gent/sites/default/files/koop_lokaal/DeLageVuurse.jpg
DJAR;"Dranken;Gezond;Lunch;Ontbijt en brunch;Tapas";Belgisch;"Glutenvrij;Vegetarisch";;Echte, gezonde voeding: homemade, handmade, met gebruik van lokale partners en made with love. Originele, verrassende gerechtjes, seizoensgebonden, vers geleverd in een duurzame glazen verpakking.;Industriepark Drongen 15B;9031;Drongen;0474351384;http://www.djar.fit;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/062ac95b8eb8c84128d72310966bfdcf;danielle@djar.fit;474351384;;;;http://www.djar.fit;https://stad.gent/sites/default/files/webform/horeca/7165/IMG_2678.jpg
Dreams Donuts Gent;"Ontbijt en brunch;Zoet;";"Amerikaans;Belgisch";"Halal;Vegetarisch";;"Dreams Donuts biedt je de mogelijkheid om je eigen droom donut samen te stellen !
Droom er niet meer van, kom langs en maak het maar.";Brabantdam 24;9000;Gent;;https://www.facebook.com/DreamsDonutsGent;DreamDonutsGent.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1f966e0574afe8f89a221d7141e0e62e;Yassine.akhayad@hotmail.com;0489294919;;;;https://www.facebook.com/DreamsDonutsGent;https://stad.gent/sites/default/files/webform/horeca/11005/bd5fe46b-7f16-490d-a95c-b0b57e37170a.jpg
Du progrès;"Dranken;Frietjes;Brasserie keuken;Lunch;Pasta;Kindvriendelijk";Belgisch;;;Restaurant Du Progrès serveert onvervalste Belgische klassiekers en is beroemd om z'n pure, eerlijke smaken en de onovertroffen prijs-kwaliteitsverhouding.;Korenmarkt 10;9000;Gent;09 225 17 16;http://www.duprogres.be/;duprogres.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/affad79c99f1d14e638449bcb4a2a79b;info@duprogres.be;;;;;http://www.duprogres.be/;https://stad.gent/sites/default/files/webform/horeca/12691/57_Du%20Progr%C3%A8s_overzicht_1.JPG
Edgar kaasbar;Brasserie keuken;"Belgisch;Frans";;;Kaasschotels, fonduebox, raclettebox & cremeux in de oven;Steendam 62;9000;Gent;0477810969;https://www.edgarkaasbar.be/takeaway;EdgarKaasbar.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/fde889db88c48beb583d058f8d04eb5a;;;;;;https://www.edgarkaasbar.be/takeaway;https://stad.gent/sites/default/files/koop_lokaal/EdgarKaasbar.jpg
Ellis Gourmet Burger - Gent;"Brasserie keuken;Wereldkeuken";"Belgisch;Amerikaans";;;Heerlijke fingerfood, sides, burgers, drinks en desserts. Ook vegan en veggie opties beschikbaar.;Korenmarkt 12;9000;Gent;093934646;https://apps.sayl.cloud/askemma/5f30fafd2cbb2c5d051cd006/pickup;EllisGourmetBurger.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1e2ed20cca716ab75dbd3d2d44d91434;;;;;;https://apps.sayl.cloud/askemma/5f30fafd2cbb2c5d051cd006/pickup;https://stad.gent/sites/default/files/koop_lokaal/EllisGourmetBurger.jpg
Faim Fatale;"Dranken;Brasserie keuken;Gezond;Lunch";Belgisch;"Veganistisch;Vegetarisch";;"Restaurant Faim Fatale serveert een Frans-Belgische keuken, maar dan iets lichter en met volwaardige vegetarische en vegan opties.
 Voor afhaal kiezen we voor 1 gerecht, STOEMP, in verschillende variaties, en die zijn eindeloos.";Zuidstationstraat 14;9000;Gent;;https://kunstwerkkunst.be/shop#!/faim-fatale/sort/manual;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/abd2eae63e3b1039aaa850b7f5ccf056;mail@faimfatale.be;92690448;;;;https://kunstwerkkunst.be/shop#!/faim-fatale/sort/manual;https://stad.gent/sites/default/files/webform/horeca/6931/FaimFatale-shoot-01-2019-Aline-24.jpg
Fleur de lee;Dranken;Belgisch;;;Koffie, Cappuccino, Latte macchiato;Kalandeberg;9000;Gent;092239924;https://www.fleurdelee.be/;FleurDeLee.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/dfd7ba7524a3813bd87f2f3cc19ac996;;;;;;https://www.fleurdelee.be/;https://stad.gent/sites/default/files/koop_lokaal/FleurDeLee.jpg
FranzGustav;"Lunch;Ontbijt en brunch;Tapas";Belgisch;"Glutenvrij;Halal;Veganistisch;Vegetarisch";;Deze brunch- en aperobar - en alles daartussen - brengt een vleugje Berlijn naar Gent. In dit prachtig gerenoveerd pand kan je in een informeel kader genieten van eenvoudige gerechten een heerlijke drank. Bij mooi weer op het fantastische terras!;Ham 163;9000;Gent;0484555245;https://franzgustav.be/;FranzGustav.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8a56379057c9e89d6896a476aa19e90b;;;;;;https://franzgustav.be/;https://stad.gent/sites/default/files/koop_lokaal/FranzGustav.jpg
Freddee's Pizza;Pizza;Italiaans;;;Italiaanse pizza's op steen gebakken.;Brugsesteenweg 313A;9000;Gent;0492857979;https://www.freddeespizza.be/;Freddee'sPizza.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/07473fc4c9e421f27e43ce5d95cb58eb;;;;;;https://www.freddeespizza.be/;https://stad.gent/sites/default/files/koop_lokaal/Freddee'sPizza.jpg
